,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
UNITED STATES,NATCHITOCHES,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,RED RIVER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,7
UNITED STATES,SABINE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,HARRISON,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,4
UNITED STATES,NACOGDOCHES,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,2
UNITED STATES,PANOLA,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,5
UNITED STATES,RUSK,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,1
UNITED STATES,SAN AUGUSTINE,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,2
UNITED STATES,CAMERON,Marcellus,No,Gas,Land,PENNSYLVANIA,Directional,2020,1,10-01-2020,1
UNITED STATES,MCKEAN,Marcellus,No,Gas,Land,PENNSYLVANIA,Directional,2020,1,10-01-2020,1
UNITED STATES,ALLEGHENY,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,BRADFORD,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,BUTLER,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,GREENE,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,LYCOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,SUSQUEHANNA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,7
UNITED STATES,TIOGA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,WASHINGTON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,10-01-2020,6
UNITED STATES,LYCOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Vertical,2020,1,10-01-2020,1
UNITED STATES,DODDRIDGE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,HARRISON,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,MARION,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,3
UNITED STATES,OHIO,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,3
UNITED STATES,TYLER,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,4
UNITED STATES,WETZEL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,ALFALFA,Mississippian,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,WOODS,Mississippian,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,PLAQUEMINES,Other,No,Oil,Inland Waters,LOUISIANA,Vertical,2020,1,10-01-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2020,1,10-01-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Horizontal,2020,1,10-01-2020,6
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Directional,2020,1,10-01-2020,7
UNITED STATES,LOS ANGELES,Other,No,Oil,Land,CALIFORNIA,Directional,2020,1,10-01-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Horizontal,2020,1,10-01-2020,2
UNITED STATES,LAKE,Other,No,Miscellaneous,Land,CALIFORNIA,Vertical,2020,1,10-01-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,1,10-01-2020,2
UNITED STATES,LOS ANGELES,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,1,10-01-2020,1
UNITED STATES,GARFIELD,Other,No,Gas,Land,COLORADO,Directional,2020,1,10-01-2020,3
UNITED STATES,HAWAII,Other,No,Miscellaneous,Land,HAWAII,Vertical,2020,1,10-01-2020,1
UNITED STATES,KNOX,Other,No,Gas,Land,INDIANA,Vertical,2020,1,10-01-2020,1
